Sat Jun 10 01:23:23 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq1, epoch0, step: 0, training: 0.4375, loss_tr: 20923, loss_t: 17899.6, testing: 0.166667, t2y: 0.5
seq1, epoch2, step: 180, training: 0.875, loss_tr: 2039.4, loss_t: 1468.23, testing: 0.611111, t2y: 0.833333
seq1, epoch2, step: 190, training: 0.875, loss_tr: 1266.94, loss_t: 1602.07, testing: 0.611111, t2y: 1
seq1, epoch2, step: 200, training: 0.875, loss_tr: 715.57, loss_t: 704.484, testing: 0.722222, t2y: 1
seq1, epoch2, step: 210, training: 1, loss_tr: 637.217, loss_t: 198.073, testing: 0.722222, t2y: 1
seq1, epoch2, step: 220, training: 0.9375, loss_tr: 991.124, loss_t: 557.387, testing: 0.722222, t2y: 1
seq1, epoch2, step: 230, training: 0.875, loss_tr: 1048.46, loss_t: 1147.89, testing: 0.722222, t2y: 1
seq1, epoch3, step: 240, training: 0.9375, loss_tr: 1594.12, loss_t: 1481.88, testing: 0.666667, t2y: 0.833333
seq1, epoch3, step: 250, training: 0.8125, loss_tr: 1084.06, loss_t: 924.49, testing: 0.722222, t2y: 1
seq1, epoch3, step: 260, training: 1, loss_tr: 1374.77, loss_t: 454.886, testing: 0.722222, t2y: 1
seq1, epoch3, step: 270, training: 0.9375, loss_tr: 1173.48, loss_t: 285.83, testing: 0.777778, t2y: 1
seq1, epoch3, step: 280, training: 0.9375, loss_tr: 1490.77, loss_t: 421.342, testing: 0.777778, t2y: 1
seq1, epoch3, step: 290, training: 1, loss_tr: 1154.11, loss_t: 436.755, testing: 0.833333, t2y: 1
seq1, epoch3, step: 300, training: 0.9375, loss_tr: 803.932, loss_t: 374.974, testing: 0.777778, t2y: 1
seq1, epoch3, step: 310, training: 0.875, loss_tr: 483.632, loss_t: 600.387, testing: 0.722222, t2y: 1
seq1, epoch4, step: 320, training: 0.9375, loss_tr: 875.886, loss_t: 495.513, testing: 0.722222, t2y: 1
seq1, epoch4, step: 330, training: 1, loss_tr: 798.115, loss_t: 420.905, testing: 0.777778, t2y: 1
seq1, epoch4, step: 340, training: 0.9375, loss_tr: 711.012, loss_t: 59.9809, testing: 0.833333, t2y: 1
seq1, epoch4, step: 350, training: 0.9375, loss_tr: 469.554, loss_t: 181.094, testing: 0.833333, t2y: 1
seq1, epoch4, step: 360, training: 0.875, loss_tr: 573.452, loss_t: 444.745, testing: 0.722222, t2y: 1
seq1, epoch4, step: 370, training: 1, loss_tr: 662.944, loss_t: 497.935, testing: 0.666667, t2y: 1
seq1, epoch4, step: 380, training: 0.875, loss_tr: 700.181, loss_t: 345.379, testing: 0.666667, t2y: 1
seq1, epoch4, step: 390, training: 1, loss_tr: 564.865, loss_t: 53.1907, testing: 0.833333, t2y: 1
seq1, epoch5, step: 400, training: 0.9375, loss_tr: 701.476, loss_t: 179.478, testing: 0.777778, t2y: 1
seq1, epoch5, step: 410, training: 0.9375, loss_tr: 723.282, loss_t: 179.478, testing: 0.777778, t2y: 1
seq1, epoch5, step: 420, training: 1, loss_tr: 863.54, loss_t: 179.478, testing: 0.777778, t2y: 1
seq1, epoch5, step: 430, training: 1, loss_tr: 794.382, loss_t: 0, testing: 0.944444, t2y: 1
seq1, epoch5, step: 440, training: 1, loss_tr: 531.489, loss_t: 0, testing: 1, t2y: 1
seq1, epoch5, step: 450, training: 0.9375, loss_tr: 212.582, loss_t: 0, testing: 0.944444, t2y: 1
seq1, epoch5, step: 460, training: 0.875, loss_tr: 113.475, loss_t: 240.158, testing: 0.833333, t2y: 1
seq1, epoch5, step: 470, training: 0.9375, loss_tr: 425.841, loss_t: 419.317, testing: 0.722222, t2y: 1
seq1, epoch6, step: 480, training: 1, loss_tr: 464.29, loss_t: 419.317, testing: 0.777778, t2y: 1
seq1, epoch6, step: 490, training: 1, loss_tr: 463.057, loss_t: 179.159, testing: 0.888889, t2y: 1
seq1, epoch6, step: 500, training: 1, loss_tr: 95.0543, loss_t: 0, testing: 1, t2y: 1
seq1, epoch6, step: 510, training: 0.9375, loss_tr: 335.131, loss_t: 0, testing: 1, t2y: 1
 
****************************************
current sequence is 2
****************************************
seq2, epoch0, step: 0, training: 0.4375, loss_tr: 10054.1, loss_t: 17731, testing: 0.333333, t2y: 0.333333
seq2, epoch0, step: 10, training: 0.0625, loss_tr: 11749.1, loss_t: 15718.9, testing: 0.277778, t2y: 0.5
seq2, epoch0, step: 20, training: 0.375, loss_tr: 17979.6, loss_t: 12350.2, testing: 0.277778, t2y: 0.5
seq2, epoch0, step: 30, training: 0.5, loss_tr: 19827.1, loss_t: 8454.59, testing: 0.333333, t2y: 0.5
seq2, epoch0, step: 40, training: 0.3125, loss_tr: 17214.6, loss_t: 6074.29, testing: 0.333333, t2y: 0.5
seq2, epoch0, step: 50, training: 0.875, loss_tr: 9347.72, loss_t: 3878.96, testing: 0.5, t2y: 0.833333
seq2, epoch0, step: 60, training: 0.875, loss_tr: 5880.74, loss_t: 2136.84, testing: 0.611111, t2y: 0.833333
seq2, epoch0, step: 70, training: 0.875, loss_tr: 4166.5, loss_t: 618.973, testing: 0.888889, t2y: 1
seq2, epoch1, step: 80, training: 0.5625, loss_tr: 3214.96, loss_t: 680.197, testing: 0.888889, t2y: 0.833333
seq2, epoch1, step: 90, training: 0.5625, loss_tr: 3273.46, loss_t: 989.737, testing: 0.833333, t2y: 0.666667
seq2, epoch1, step: 100, training: 0.625, loss_tr: 3303.32, loss_t: 2091.1, testing: 0.666667, t2y: 0.666667
seq2, epoch1, step: 110, training: 0.875, loss_tr: 3947.04, loss_t: 2145.14, testing: 0.611111, t2y: 0.833333
seq2, epoch1, step: 120, training: 0.875, loss_tr: 2482.56, loss_t: 2128.4, testing: 0.666667, t2y: 0.833333
seq2, epoch1, step: 130, training: 0.8125, loss_tr: 2415.91, loss_t: 1190.64, testing: 0.777778, t2y: 0.833333
seq2, epoch1, step: 140, training: 0.6875, loss_tr: 2347.53, loss_t: 1253.99, testing: 0.722222, t2y: 0.666667
seq2, epoch1, step: 150, training: 0.75, loss_tr: 3345.14, loss_t: 1054.26, testing: 0.611111, t2y: 0.833333
seq2, epoch2, step: 160, training: 0.875, loss_tr: 3110.75, loss_t: 1031.83, testing: 0.555556, t2y: 1
seq2, epoch2, step: 170, training: 0.9375, loss_tr: 2122.23, loss_t: 567.404, testing: 0.611111, t2y: 0.833333
seq2, epoch2, step: 180, training: 0.875, loss_tr: 1624.79, loss_t: 527.016, testing: 0.666667, t2y: 0.666667
seq2, epoch2, step: 190, training: 0.9375, loss_tr: 1495.06, loss_t: 385.835, testing: 0.722222, t2y: 1
seq2, epoch2, step: 200, training: 0.875, loss_tr: 2211.9, loss_t: 492.811, testing: 0.777778, t2y: 0.833333
seq2, epoch2, step: 210, training: 0.75, loss_tr: 2099.95, loss_t: 627.074, testing: 0.777778, t2y: 0.833333
seq2, epoch2, step: 220, training: 0.9375, loss_tr: 2348.02, loss_t: 788.611, testing: 0.722222, t2y: 1
seq2, epoch2, step: 230, training: 1, loss_tr: 1382.58, loss_t: 922.517, testing: 0.722222, t2y: 1
seq2, epoch3, step: 240, training: 0.875, loss_tr: 851.208, loss_t: 790.956, testing: 0.722222, t2y: 0.833333
seq2, epoch3, step: 250, training: 1, loss_tr: 472.837, loss_t: 629.419, testing: 0.833333, t2y: 1
seq2, epoch3, step: 260, training: 1, loss_tr: 512.346, loss_t: 327.99, testing: 0.833333, t2y: 1
seq2, epoch3, step: 270, training: 1, loss_tr: 555.558, loss_t: 0, testing: 0.888889, t2y: 1
seq2, epoch3, step: 280, training: 0.9375, loss_tr: 454.545, loss_t: 0, testing: 0.833333, t2y: 1
seq2, epoch3, step: 290, training: 1, loss_tr: 398.52, loss_t: 0, testing: 0.833333, t2y: 1
seq2, epoch3, step: 300, training: 1, loss_tr: 246.574, loss_t: 0, testing: 0.888889, t2y: 1
seq2, epoch3, step: 310, training: 1, loss_tr: 184.562, loss_t: 0, testing: 0.944444, t2y: 1
seq2, epoch4, step: 320, training: 1, loss_tr: 99.3625, loss_t: 0, testing: 1, t2y: 1
seq2, epoch4, step: 330, training: 0.9375, loss_tr: 58.798, loss_t: 0, testing: 0.944444, t2y: 1
seq2, epoch4, step: 340, training: 0.875, loss_tr: 195.535, loss_t: 0, testing: 0.888889, t2y: 1
seq2, epoch4, step: 350, training: 1, loss_tr: 657.658, loss_t: 0, testing: 0.833333, t2y: 1
seq2, epoch4, step: 360, training: 0.9375, loss_tr: 677.232, loss_t: 25.7939, testing: 0.777778, t2y: 0.833333
seq2, epoch4, step: 370, training: 0.9375, loss_tr: 566.578, loss_t: 25.7939, testing: 0.777778, t2y: 1
seq2, epoch4, step: 380, training: 1, loss_tr: 227.823, loss_t: 25.7939, testing: 0.777778, t2y: 1
seq2, epoch4, step: 390, training: 1, loss_tr: 333.752, loss_t: 0, testing: 0.833333, t2y: 1
seq2, epoch5, step: 400, training: 1, loss_tr: 448.873, loss_t: 0, testing: 0.888889, t2y: 1
seq2, epoch5, step: 410, training: 1, loss_tr: 335.27, loss_t: 0, testing: 0.944444, t2y: 1
seq2, epoch5, step: 420, training: 1, loss_tr: 176.332, loss_t: 0, testing: 1, t2y: 1
seq2, epoch5, step: 430, training: 0.9375, loss_tr: 183.719, loss_t: 0, testing: 1, t2y: 1
seq2, epoch5, step: 440, training: 1, loss_tr: 263.218, loss_t: 0, testing: 1, t2y: 1
seq2, epoch5, step: 450, training: 1, loss_tr: 263.218, loss_t: 0, testing: 1, t2y: 1
seq2, epoch5, step: 460, training: 1, loss_tr: 155.443, loss_t: 0, testing: 1, t2y: 1
seq2, epoch5, step: 470, training: 1, loss_tr: 71.6252, loss_t: 0, testing: 1, t2y: 1
seq2, epoch6, step: 480, training: 1, loss_tr: 71.6252, loss_t: 0, testing: 1, t2y: 1
seq2, epoch6, step: 490, training: 1, loss_tr: 175.75, loss_t: 0, testing: 1, t2y: 1
seq2, epoch6, step: 500, training: 1, loss_tr: 170.304, loss_t: 0, testing: 1, t2y: 1
seq2, epoch6, step: 510, training: 1, loss_tr: 170.304, loss_t: 0, testing: 1, t2y: 1
 
****************************************
current sequence is 3
****************************************
seq3, epoch0, step: 0, training: 0.1875, loss_tr: 21925.6, loss_t: 17813.5, testing: 0.166667, t2y: 0.5
seq3, epoch0, step: 10, training: 0.5, loss_tr: 19872.9, loss_t: 13295.8, testing: 0.333333, t2y: 0.666667
seq3, epoch0, step: 20, training: 0.1875, loss_tr: 17854.7, loss_t: 9707.42, testing: 0.388889, t2y: 0.333333
seq3, epoch0, step: 30, training: 0.6875, loss_tr: 16261.6, loss_t: 5674.54, testing: 0.5, t2y: 0.833333
seq3, epoch0, step: 40, training: 0.75, loss_tr: 14822.1, loss_t: 4676.72, testing: 0.555556, t2y: 0.833333
seq3, epoch0, step: 50, training: 0.625, loss_tr: 11372, loss_t: 4888.5, testing: 0.611111, t2y: 0.5
seq3, epoch0, step: 60, training: 0.8125, loss_tr: 9635.96, loss_t: 4715.9, testing: 0.611111, t2y: 0.666667
seq3, epoch0, step: 70, training: 0.875, loss_tr: 8523.08, loss_t: 5413.5, testing: 0.611111, t2y: 0.833333
seq3, epoch1, step: 80, training: 0.6875, loss_tr: 9086.6, loss_t: 3857.08, testing: 0.611111, t2y: 0.833333
seq3, epoch1, step: 90, training: 0.8125, loss_tr: 6003.36, loss_t: 2536.03, testing: 0.666667, t2y: 0.833333
seq3, epoch1, step: 100, training: 0.8125, loss_tr: 4654.7, loss_t: 1728.65, testing: 0.611111, t2y: 0.833333
seq3, epoch1, step: 110, training: 0.8125, loss_tr: 3276.75, loss_t: 2091.13, testing: 0.666667, t2y: 0.833333
seq3, epoch1, step: 120, training: 0.875, loss_tr: 3290.44, loss_t: 1983.14, testing: 0.666667, t2y: 0.833333
seq3, epoch1, step: 130, training: 0.875, loss_tr: 2387.63, loss_t: 2172.64, testing: 0.722222, t2y: 1
seq3, epoch1, step: 140, training: 0.9375, loss_tr: 1837.57, loss_t: 1091.75, testing: 0.722222, t2y: 0.833333
seq3, epoch1, step: 150, training: 0.875, loss_tr: 1390.32, loss_t: 2208.45, testing: 0.666667, t2y: 0.666667
seq3, epoch2, step: 160, training: 0.75, loss_tr: 2358.13, loss_t: 2554.54, testing: 0.555556, t2y: 0.833333
seq3, epoch2, step: 170, training: 0.875, loss_tr: 2309.43, loss_t: 2471.63, testing: 0.611111, t2y: 1
seq3, epoch2, step: 180, training: 0.75, loss_tr: 2304.36, loss_t: 1898.18, testing: 0.666667, t2y: 0.666667
seq3, epoch2, step: 190, training: 0.875, loss_tr: 1582.79, loss_t: 1325.39, testing: 0.722222, t2y: 1
seq3, epoch2, step: 200, training: 0.875, loss_tr: 2112.54, loss_t: 1573.39, testing: 0.666667, t2y: 0.833333
seq3, epoch2, step: 210, training: 0.9375, loss_tr: 2294.84, loss_t: 1586.9, testing: 0.666667, t2y: 0.666667
seq3, epoch2, step: 220, training: 1, loss_tr: 1810.67, loss_t: 1380.16, testing: 0.666667, t2y: 1
seq3, epoch2, step: 230, training: 1, loss_tr: 1123.55, loss_t: 1071.92, testing: 0.722222, t2y: 0.833333
seq3, epoch3, step: 240, training: 1, loss_tr: 1106.66, loss_t: 713.262, testing: 0.722222, t2y: 0.833333
seq3, epoch3, step: 250, training: 0.875, loss_tr: 1051.59, loss_t: 1593.26, testing: 0.666667, t2y: 0.666667
seq3, epoch3, step: 260, training: 0.875, loss_tr: 960.293, loss_t: 2543.58, testing: 0.555556, t2y: 0.666667
seq3, epoch3, step: 270, training: 0.9375, loss_tr: 777.707, loss_t: 2206.82, testing: 0.611111, t2y: 0.833333
seq3, epoch3, step: 280, training: 0.9375, loss_tr: 1009.4, loss_t: 1295.63, testing: 0.722222, t2y: 1
seq3, epoch3, step: 290, training: 0.9375, loss_tr: 1004.49, loss_t: 683.992, testing: 0.777778, t2y: 0.833333
seq3, epoch3, step: 300, training: 1, loss_tr: 781.53, loss_t: 1187.93, testing: 0.666667, t2y: 0.666667
seq3, epoch3, step: 310, training: 0.875, loss_tr: 390.822, loss_t: 1670.44, testing: 0.611111, t2y: 0.833333
seq3, epoch4, step: 320, training: 1, loss_tr: 305.04, loss_t: 1461.54, testing: 0.666667, t2y: 0.833333
seq3, epoch4, step: 330, training: 1, loss_tr: 309.067, loss_t: 1164.13, testing: 0.777778, t2y: 0.833333
seq3, epoch4, step: 340, training: 0.9375, loss_tr: 366.48, loss_t: 1147.69, testing: 0.777778, t2y: 1
seq3, epoch4, step: 350, training: 1, loss_tr: 364.406, loss_t: 1384.59, testing: 0.666667, t2y: 0.833333
seq3, epoch4, step: 360, training: 0.875, loss_tr: 724.758, loss_t: 1428.57, testing: 0.555556, t2y: 1
seq3, epoch4, step: 370, training: 0.9375, loss_tr: 724.064, loss_t: 1318.61, testing: 0.555556, t2y: 0.833333
seq3, epoch4, step: 380, training: 0.9375, loss_tr: 743.849, loss_t: 1346.12, testing: 0.611111, t2y: 0.833333
seq3, epoch4, step: 390, training: 0.9375, loss_tr: 194.427, loss_t: 1405.66, testing: 0.666667, t2y: 0.833333
seq3, epoch5, step: 400, training: 1, loss_tr: 137.708, loss_t: 1431.15, testing: 0.666667, t2y: 1
seq3, epoch5, step: 410, training: 0.9375, loss_tr: 80.9937, loss_t: 1127.44, testing: 0.722222, t2y: 1
seq3, epoch5, step: 420, training: 0.9375, loss_tr: 115.545, loss_t: 919.107, testing: 0.777778, t2y: 0.833333
seq3, epoch5, step: 430, training: 0.875, loss_tr: 115.545, loss_t: 718.211, testing: 0.833333, t2y: 0.833333
seq3, epoch5, step: 440, training: 1, loss_tr: 232.326, loss_t: 653.519, testing: 0.833333, t2y: 0.833333
seq3, epoch5, step: 450, training: 0.9375, loss_tr: 201.155, loss_t: 628.809, testing: 0.777778, t2y: 0.833333
seq3, epoch5, step: 460, training: 0.9375, loss_tr: 219.38, loss_t: 695.257, testing: 0.722222, t2y: 0.833333
seq3, epoch5, step: 470, training: 1, loss_tr: 125.18, loss_t: 808.768, testing: 0.666667, t2y: 1
seq3, epoch6, step: 480, training: 1, loss_tr: 152.847, loss_t: 1076.88, testing: 0.722222, t2y: 0.833333
seq3, epoch6, step: 490, training: 1, loss_tr: 134.622, loss_t: 1340.24, testing: 0.777778, t2y: 0.833333
seq3, epoch6, step: 500, training: 1, loss_tr: 235.353, loss_t: 1391.34, testing: 0.833333, t2y: 0.833333
seq3, epoch6, step: 510, training: 1, loss_tr: 248.604, loss_t: 1125.68, testing: 0.777778, t2y: 1
 
The list of Classification Accuracy: [1.0, 1.0, 0.66666666666666663]
 [1.0, 1.0, 1.0]
 Mean Classification Accuracy is 0.888888888889, and top2 mean accuracy is 1.0
__________________________________________________________________________________________________
 
-------------------------------------------------------------------------
---------------------------- RUN 1 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq1, epoch0, step: 0, training: 0.1875, loss_tr: 19636.4, loss_t: 20530, testing: 0.166667, t2y: 0.5
seq1, epoch0, step: 10, training: 0.25, loss_tr: 21256.4, loss_t: 16599.7, testing: 0.277778, t2y: 0.5
seq1, epoch0, step: 20, training: 0.375, loss_tr: 21655.7, loss_t: 11555, testing: 0.333333, t2y: 0.833333
seq1, epoch0, step: 30, training: 0.6875, loss_tr: 18626.1, loss_t: 5036.81, testing: 0.388889, t2y: 0.833333
seq1, epoch0, step: 40, training: 0.5625, loss_tr: 15324, loss_t: 3552.01, testing: 0.388889, t2y: 1
seq1, epoch0, step: 50, training: 0.625, loss_tr: 10822.4, loss_t: 3886.84, testing: 0.388889, t2y: 1
seq1, epoch0, step: 60, training: 0.8125, loss_tr: 9609.53, loss_t: 4161.91, testing: 0.5, t2y: 1
seq1, epoch0, step: 70, training: 0.75, loss_tr: 7566.75, loss_t: 3394, testing: 0.5, t2y: 0.833333
seq1, epoch1, step: 80, training: 0.875, loss_tr: 7477.18, loss_t: 1943.8, testing: 0.555556, t2y: 0.833333
seq1, epoch1, step: 90, training: 0.6875, loss_tr: 7016.78, loss_t: 1865.49, testing: 0.555556, t2y: 1
seq1, epoch1, step: 100, training: 0.5625, loss_tr: 6708.17, loss_t: 2062.61, testing: 0.555556, t2y: 0.666667
seq1, epoch1, step: 110, training: 0.75, loss_tr: 6172.81, loss_t: 1784.65, testing: 0.666667, t2y: 0.833333
seq1, epoch1, step: 120, training: 0.875, loss_tr: 5349.69, loss_t: 1289.93, testing: 0.722222, t2y: 1
seq1, epoch1, step: 130, training: 0.875, loss_tr: 3302.99, loss_t: 439.281, testing: 0.888889, t2y: 1
seq1, epoch1, step: 140, training: 0.9375, loss_tr: 2240.18, loss_t: 276.607, testing: 0.888889, t2y: 0.833333
seq1, epoch1, step: 150, training: 0.6875, loss_tr: 2405.77, loss_t: 635.137, testing: 0.833333, t2y: 0.833333
seq1, epoch2, step: 160, training: 0.875, loss_tr: 2881.26, loss_t: 1234.16, testing: 0.777778, t2y: 1
seq1, epoch2, step: 170, training: 0.9375, loss_tr: 2548.46, loss_t: 1410.86, testing: 0.777778, t2y: 0.833333
seq1, epoch2, step: 180, training: 0.9375, loss_tr: 1780.13, loss_t: 1151, testing: 0.833333, t2y: 1
seq1, epoch2, step: 190, training: 0.875, loss_tr: 2704.61, loss_t: 590.194, testing: 0.833333, t2y: 1
seq1, epoch2, step: 200, training: 0.8125, loss_tr: 2690.31, loss_t: 604.585, testing: 0.833333, t2y: 0.833333
seq1, epoch2, step: 210, training: 0.9375, loss_tr: 2483.2, loss_t: 525.987, testing: 0.833333, t2y: 1
seq1, epoch2, step: 220, training: 0.875, loss_tr: 908.232, loss_t: 480.963, testing: 0.833333, t2y: 1
seq1, epoch2, step: 230, training: 1, loss_tr: 628.351, loss_t: 47.2182, testing: 0.888889, t2y: 1
seq1, epoch3, step: 240, training: 1, loss_tr: 782.315, loss_t: 0, testing: 0.944444, t2y: 1
seq1, epoch3, step: 250, training: 1, loss_tr: 580.308, loss_t: 62.3328, testing: 0.944444, t2y: 1
seq1, epoch3, step: 260, training: 0.875, loss_tr: 690.047, loss_t: 437.257, testing: 0.888889, t2y: 1
seq1, epoch3, step: 270, training: 1, loss_tr: 779.709, loss_t: 489.973, testing: 0.833333, t2y: 1
seq1, epoch3, step: 280, training: 1, loss_tr: 837.671, loss_t: 427.64, testing: 0.888889, t2y: 1
seq1, epoch3, step: 290, training: 0.875, loss_tr: 720.644, loss_t: 52.7157, testing: 0.944444, t2y: 1
seq1, epoch3, step: 300, training: 0.9375, loss_tr: 374.028, loss_t: 0, testing: 1, t2y: 1
seq1, epoch3, step: 310, training: 1, loss_tr: 516.884, loss_t: 10.0579, testing: 1, t2y: 1
seq1, epoch4, step: 320, training: 0.9375, loss_tr: 817.536, loss_t: 79.5926, testing: 0.944444, t2y: 1
seq1, epoch4, step: 330, training: 1, loss_tr: 825.928, loss_t: 79.5926, testing: 0.944444, t2y: 1
seq1, epoch4, step: 340, training: 1, loss_tr: 539.233, loss_t: 69.5347, testing: 0.944444, t2y: 1
seq1, epoch4, step: 350, training: 1, loss_tr: 117.452, loss_t: 0, testing: 1, t2y: 1
seq1, epoch4, step: 360, training: 0.875, loss_tr: 365.822, loss_t: 0, testing: 1, t2y: 1
seq1, epoch4, step: 370, training: 0.9375, loss_tr: 363.363, loss_t: 0, testing: 1, t2y: 1
seq1, epoch4, step: 380, training: 1, loss_tr: 469.548, loss_t: 0, testing: 1, t2y: 1
seq1, epoch4, step: 390, training: 0.9375, loss_tr: 191.66, loss_t: 144.864, testing: 0.944444, t2y: 1
seq1, epoch5, step: 400, training: 0.9375, loss_tr: 282.939, loss_t: 144.864, testing: 0.944444, t2y: 1
seq1, epoch5, step: 410, training: 0.9375, loss_tr: 494.392, loss_t: 144.864, testing: 0.944444, t2y: 1
seq1, epoch5, step: 420, training: 0.9375, loss_tr: 408.917, loss_t: 0, testing: 1, t2y: 1
seq1, epoch5, step: 430, training: 1, loss_tr: 336.169, loss_t: 0, testing: 1, t2y: 1
seq1, epoch5, step: 440, training: 0.9375, loss_tr: 18.5315, loss_t: 0, testing: 1, t2y: 1
seq1, epoch5, step: 450, training: 1, loss_tr: 141.947, loss_t: 0, testing: 1, t2y: 1
seq1, epoch5, step: 460, training: 1, loss_tr: 175.044, loss_t: 0, testing: 1, t2y: 1
seq1, epoch5, step: 470, training: 1, loss_tr: 175.044, loss_t: 0, testing: 1, t2y: 1
seq1, epoch6, step: 480, training: 0.9375, loss_tr: 120.042, loss_t: 0, testing: 1, t2y: 1
seq1, epoch6, step: 490, training: 0.9375, loss_tr: 195.353, loss_t: 0, testing: 1, t2y: 1
seq1, epoch6, step: 500, training: 1, loss_tr: 195.353, loss_t: 0, testing: 1, t2y: 1
seq1, epoch6, step: 510, training: 0.8125, loss_tr: 126.94, loss_t: 0, testing: 1, t2y: 1
 
****************************************
current sequence is 2
****************************************
seq2, epoch0, step: 0, training: 0.3125, loss_tr: 17826.2, loss_t: 16440.4, testing: 0.333333, t2y: 0.5
seq2, epoch0, step: 10, training: 0.4375, loss_tr: 19783.5, loss_t: 14074.9, testing: 0.333333, t2y: 0.333333
seq2, epoch0, step: 20, training: 0.375, loss_tr: 22336.9, loss_t: 14392, testing: 0.333333, t2y: 0.5
seq2, epoch0, step: 30, training: 0.5, loss_tr: 22749, loss_t: 9402.16, testing: 0.444444, t2y: 0.833333
seq2, epoch0, step: 40, training: 0.625, loss_tr: 19080.3, loss_t: 9200.91, testing: 0.5, t2y: 0.5
seq2, epoch0, step: 50, training: 0.4375, loss_tr: 14024.9, loss_t: 6658.52, testing: 0.444444, t2y: 0.833333
seq2, epoch0, step: 60, training: 0.625, loss_tr: 11546.8, loss_t: 8016.23, testing: 0.388889, t2y: 0.833333
seq2, epoch0, step: 70, training: 0.5, loss_tr: 12284.3, loss_t: 5886.81, testing: 0.5, t2y: 0.833333
seq2, epoch1, step: 80, training: 0.4375, loss_tr: 12457.1, loss_t: 4539.29, testing: 0.5, t2y: 0.833333
seq2, epoch1, step: 90, training: 0.875, loss_tr: 10475, loss_t: 2748.42, testing: 0.555556, t2y: 1
seq2, epoch1, step: 100, training: 0.875, loss_tr: 6401.76, loss_t: 2334.11, testing: 0.5, t2y: 0.833333
seq2, epoch1, step: 110, training: 0.75, loss_tr: 3837.96, loss_t: 836.531, testing: 0.722222, t2y: 1
seq2, epoch1, step: 120, training: 0.875, loss_tr: 2903.72, loss_t: 875.645, testing: 0.777778, t2y: 1
seq2, epoch1, step: 130, training: 0.625, loss_tr: 4429.87, loss_t: 1116.63, testing: 0.777778, t2y: 0.833333
seq2, epoch1, step: 140, training: 0.875, loss_tr: 5274.51, loss_t: 706.851, testing: 0.833333, t2y: 1
seq2, epoch1, step: 150, training: 0.6875, loss_tr: 6636.15, loss_t: 839.305, testing: 0.777778, t2y: 0.833333
seq2, epoch2, step: 160, training: 0.9375, loss_tr: 4745.99, loss_t: 228.696, testing: 0.833333, t2y: 1
seq2, epoch2, step: 170, training: 0.875, loss_tr: 3078.78, loss_t: 698.065, testing: 0.777778, t2y: 1
seq2, epoch2, step: 180, training: 0.8125, loss_tr: 1558.56, loss_t: 598.178, testing: 0.833333, t2y: 0.833333
