Sat Jun 10 12:13:42 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
-------------------------------------------------------------------------
---------------------------- RUN 0 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq1, epoch0, step: 0, training: 0, loss_tr: 3.06702, loss_t: 2.10415, testing: 0.333333, t2y: 0.333333
seq2, epoch5, step: 400, training: 0.9375, loss_tr: 0.608096, loss_t: 0.474794, testing: 1, t2y: 1
seq2, epoch5, step: 410, training: 0.75, loss_tr: 0.602276, loss_t: 0.450828, testing: 1, t2y: 1
seq2, epoch5, step: 420, training: 0.9375, loss_tr: 0.712535, loss_t: 0.465917, testing: 0.944444, t2y: 1
seq2, epoch5, step: 430, training: 0.875, loss_tr: 0.74363, loss_t: 0.478997, testing: 0.944444, t2y: 1
seq2, epoch5, step: 440, training: 1, loss_tr: 0.791441, loss_t: 0.474358, testing: 0.944444, t2y: 1
seq2, epoch5, step: 450, training: 0.9375, loss_tr: 0.65658, loss_t: 0.45316, testing: 1, t2y: 1
seq2, epoch5, step: 460, training: 0.9375, loss_tr: 0.664954, loss_t: 0.441948, testing: 1, t2y: 1
seq2, epoch5, step: 470, training: 0.9375, loss_tr: 0.576432, loss_t: 0.42081, testing: 1, t2y: 1
seq2, epoch6, step: 480, training: 1, loss_tr: 0.558868, loss_t: 0.40179, testing: 1, t2y: 1
seq2, epoch6, step: 490, training: 0.9375, loss_tr: 0.475147, loss_t: 0.397611, testing: 1, t2y: 1
seq2, epoch6, step: 500, training: 1, loss_tr: 0.388849, loss_t: 0.393925, testing: 0.944444, t2y: 1
seq2, epoch6, step: 510, training: 1, loss_tr: 0.389098, loss_t: 0.408928, testing: 0.888889, t2y: 1
 
****************************************
current sequence is 3
****************************************
seq3, epoch0, step: 0, training: 0.1875, loss_tr: 3.79494, loss_t: 3.00055, testing: 0.166667, t2y: 0.333333
seq3, epoch0, step: 10, training: 0.25, loss_tr: 3.25, loss_t: 2.57874, testing: 0.111111, t2y: 0.333333
seq3, epoch0, step: 20, training: 0.3125, loss_tr: 2.76834, loss_t: 2.14812, testing: 0.222222, t2y: 0.666667
seq3, epoch0, step: 30, training: 0.375, loss_tr: 2.41237, loss_t: 1.75696, testing: 0.277778, t2y: 0.333333
seq3, epoch0, step: 40, training: 0.5, loss_tr: 2.37773, loss_t: 1.672, testing: 0.388889, t2y: 0.666667
seq3, epoch0, step: 50, training: 0.375, loss_tr: 2.37401, loss_t: 1.5349, testing: 0.388889, t2y: 0.833333
seq3, epoch0, step: 60, training: 0.5, loss_tr: 2.10158, loss_t: 1.34444, testing: 0.5, t2y: 0.833333
seq3, epoch0, step: 70, training: 0.6875, loss_tr: 1.9332, loss_t: 1.26166, testing: 0.611111, t2y: 0.666667
seq3, epoch1, step: 80, training: 0.5, loss_tr: 1.76024, loss_t: 1.22018, testing: 0.666667, t2y: 0.666667
seq3, epoch1, step: 90, training: 0.8125, loss_tr: 1.66431, loss_t: 1.16893, testing: 0.666667, t2y: 0.666667
seq3, epoch1, step: 100, training: 0.5625, loss_tr: 1.5932, loss_t: 1.1117, testing: 0.666667, t2y: 0.833333
seq3, epoch1, step: 110, training: 0.75, loss_tr: 1.5735, loss_t: 1.06583, testing: 0.666667, t2y: 0.666667
seq3, epoch1, step: 120, training: 0.875, loss_tr: 1.32678, loss_t: 1.03654, testing: 0.666667, t2y: 0.666667
seq3, epoch1, step: 130, training: 0.9375, loss_tr: 1.21471, loss_t: 0.998795, testing: 0.666667, t2y: 0.666667
seq3, epoch1, step: 140, training: 0.625, loss_tr: 1.1406, loss_t: 0.959271, testing: 0.666667, t2y: 0.666667
seq3, epoch1, step: 150, training: 0.8125, loss_tr: 1.23175, loss_t: 0.928643, testing: 0.666667, t2y: 0.666667
seq3, epoch2, step: 160, training: 0.8125, loss_tr: 1.42331, loss_t: 0.915865, testing: 0.666667, t2y: 0.666667
seq3, epoch2, step: 170, training: 0.875, loss_tr: 1.28355, loss_t: 0.928066, testing: 0.666667, t2y: 0.666667
seq3, epoch2, step: 180, training: 0.8125, loss_tr: 1.35813, loss_t: 0.900433, testing: 0.666667, t2y: 1
seq3, epoch2, step: 190, training: 1, loss_tr: 1.10533, loss_t: 0.87242, testing: 0.666667, t2y: 0.833333
seq3, epoch2, step: 200, training: 0.8125, loss_tr: 1.19686, loss_t: 0.830171, testing: 0.666667, t2y: 0.666667
seq3, epoch2, step: 210, training: 0.875, loss_tr: 1.11758, loss_t: 0.846463, testing: 0.722222, t2y: 0.833333
seq3, epoch2, step: 220, training: 0.875, loss_tr: 1.16759, loss_t: 0.81815, testing: 0.722222, t2y: 0.833333
seq3, epoch2, step: 230, training: 0.75, loss_tr: 1.07618, loss_t: 0.790863, testing: 0.722222, t2y: 0.666667
seq3, epoch3, step: 240, training: 0.875, loss_tr: 1.00167, loss_t: 0.73417, testing: 0.666667, t2y: 0.666667
seq3, epoch3, step: 250, training: 0.875, loss_tr: 0.985871, loss_t: 0.71577, testing: 0.666667, t2y: 1
seq3, epoch3, step: 260, training: 1, loss_tr: 0.769355, loss_t: 0.735773, testing: 0.666667, t2y: 0.666667
seq3, epoch3, step: 270, training: 0.8125, loss_tr: 0.664345, loss_t: 0.768629, testing: 0.666667, t2y: 0.666667
seq3, epoch3, step: 280, training: 1, loss_tr: 0.690815, loss_t: 0.754327, testing: 0.666667, t2y: 1
seq3, epoch3, step: 290, training: 0.9375, loss_tr: 0.828866, loss_t: 0.728261, testing: 0.666667, t2y: 0.833333
seq3, epoch3, step: 300, training: 1, loss_tr: 0.877311, loss_t: 0.721632, testing: 0.666667, t2y: 0.666667
seq3, epoch3, step: 310, training: 0.875, loss_tr: 0.795165, loss_t: 0.735973, testing: 0.666667, t2y: 0.666667
seq3, epoch4, step: 320, training: 0.9375, loss_tr: 0.653532, loss_t: 0.672215, testing: 0.722222, t2y: 1
seq3, epoch4, step: 330, training: 0.9375, loss_tr: 0.586182, loss_t: 0.637973, testing: 0.722222, t2y: 0.833333
seq3, epoch4, step: 340, training: 0.9375, loss_tr: 0.599671, loss_t: 0.606275, testing: 0.722222, t2y: 0.833333
seq3, epoch4, step: 350, training: 0.875, loss_tr: 0.665296, loss_t: 0.60761, testing: 0.666667, t2y: 1
seq3, epoch4, step: 360, training: 0.9375, loss_tr: 0.681753, loss_t: 0.579855, testing: 0.666667, t2y: 0.833333
seq3, epoch4, step: 370, training: 0.9375, loss_tr: 0.539504, loss_t: 0.582262, testing: 0.666667, t2y: 0.666667
seq3, epoch4, step: 380, training: 0.9375, loss_tr: 0.60887, loss_t: 0.595785, testing: 0.666667, t2y: 1
seq3, epoch4, step: 390, training: 0.8125, loss_tr: 0.743764, loss_t: 0.627907, testing: 0.666667, t2y: 0.666667
seq3, epoch5, step: 400, training: 1, loss_tr: 0.780109, loss_t: 0.648574, testing: 0.666667, t2y: 0.833333
seq3, epoch5, step: 410, training: 1, loss_tr: 0.614152, loss_t: 0.65204, testing: 0.666667, t2y: 1
seq3, epoch5, step: 420, training: 1, loss_tr: 0.404179, loss_t: 0.604973, testing: 0.666667, t2y: 0.833333
seq3, epoch5, step: 430, training: 0.9375, loss_tr: 0.447848, loss_t: 0.578067, testing: 0.666667, t2y: 1
seq3, epoch5, step: 440, training: 1, loss_tr: 0.496364, loss_t: 0.593042, testing: 0.666667, t2y: 0.666667
seq3, epoch5, step: 450, training: 0.875, loss_tr: 0.469045, loss_t: 0.610829, testing: 0.666667, t2y: 0.666667
seq3, epoch5, step: 460, training: 1, loss_tr: 0.475631, loss_t: 0.587754, testing: 0.666667, t2y: 1
seq3, epoch5, step: 470, training: 0.9375, loss_tr: 0.453043, loss_t: 0.567733, testing: 0.666667, t2y: 0.833333
seq3, epoch6, step: 480, training: 1, loss_tr: 0.48682, loss_t: 0.529213, testing: 0.666667, t2y: 1
seq3, epoch6, step: 490, training: 0.9375, loss_tr: 0.423993, loss_t: 0.50405, testing: 0.722222, t2y: 1
seq3, epoch6, step: 500, training: 1, loss_tr: 0.405289, loss_t: 0.486253, testing: 0.722222, t2y: 0.833333
seq3, epoch6, step: 510, training: 1, loss_tr: 0.375297, loss_t: 0.477383, testing: 0.722222, t2y: 1
 
The list of Classification Accuracy: [1.0, 0.83333333333333337, 0.66666666666666663]
 [1.0, 1.0, 1.0]
 Mean Classification Accuracy is 0.833333333333, and top2 mean accuracy is 1.0
__________________________________________________________________________________________________
 
-------------------------------------------------------------------------
---------------------------- RUN 1 ------------------------------
-------------------------------------------------------------------------
****************************************
current sequence is 1
****************************************
seq1, epoch0, step: 0, training: 0.1875, loss_tr: 2.18575, loss_t: 2.37944, testing: 0, t2y: 0.333333
seq1, epoch0, step: 10, training: 0.25, loss_tr: 2.34262, loss_t: 2.23738, testing: 0, t2y: 0.166667
seq1, epoch0, step: 20, training: 0.125, loss_tr: 2.38822, loss_t: 2.05294, testing: 0.0555556, t2y: 0.333333
seq1, epoch0, step: 30, training: 0.125, loss_tr: 2.24369, loss_t: 1.86197, testing: 0.111111, t2y: 0.5
seq1, epoch0, step: 40, training: 0.4375, loss_tr: 2.18665, loss_t: 1.77998, testing: 0.166667, t2y: 0.5
seq1, epoch0, step: 50, training: 0.0625, loss_tr: 2.05449, loss_t: 1.73403, testing: 0.166667, t2y: 0.5
seq1, epoch0, step: 60, training: 0.5, loss_tr: 2.16767, loss_t: 1.61549, testing: 0.166667, t2y: 0.666667
seq1, epoch0, step: 70, training: 0.25, loss_tr: 2.07794, loss_t: 1.52714, testing: 0.222222, t2y: 0.666667
seq1, epoch1, step: 80, training: 0.5625, loss_tr: 2.21716, loss_t: 1.42396, testing: 0.333333, t2y: 0.666667
seq1, epoch1, step: 90, training: 0.4375, loss_tr: 2.15664, loss_t: 1.3561, testing: 0.444444, t2y: 0.833333
seq1, epoch1, step: 100, training: 0.6875, loss_tr: 2.02529, loss_t: 1.27018, testing: 0.555556, t2y: 0.833333
seq1, epoch1, step: 110, training: 0.8125, loss_tr: 1.88296, loss_t: 1.19448, testing: 0.611111, t2y: 0.833333
seq1, epoch1, step: 120, training: 0.75, loss_tr: 1.69023, loss_t: 1.14432, testing: 0.666667, t2y: 0.833333
seq1, epoch1, step: 130, training: 0.4375, loss_tr: 1.65521, loss_t: 1.12515, testing: 0.611111, t2y: 0.666667
seq1, epoch1, step: 140, training: 0.75, loss_tr: 1.54811, loss_t: 1.11051, testing: 0.555556, t2y: 0.833333
seq1, epoch1, step: 150, training: 0.75, loss_tr: 1.65578, loss_t: 1.07796, testing: 0.555556, t2y: 0.833333
seq1, epoch2, step: 160, training: 0.8125, loss_tr: 1.60056, loss_t: 1.03035, testing: 0.611111, t2y: 0.833333
seq1, epoch2, step: 170, training: 0.5, loss_tr: 1.53614, loss_t: 0.976239, testing: 0.666667, t2y: 0.833333
seq1, epoch2, step: 180, training: 0.875, loss_tr: 1.37671, loss_t: 0.950646, testing: 0.722222, t2y: 0.833333
seq1, epoch2, step: 190, training: 0.8125, loss_tr: 1.32725, loss_t: 0.928246, testing: 0.777778, t2y: 0.833333
seq1, epoch2, step: 200, training: 0.3125, loss_tr: 1.35384, loss_t: 0.914563, testing: 0.777778, t2y: 0.833333
seq1, epoch2, step: 210, training: 0.5625, loss_tr: 1.30865, loss_t: 0.900384, testing: 0.777778, t2y: 0.833333
seq1, epoch2, step: 220, training: 0.875, loss_tr: 1.10977, loss_t: 0.85543, testing: 0.722222, t2y: 1
seq1, epoch2, step: 230, training: 0.625, loss_tr: 1.05922, loss_t: 0.808856, testing: 0.722222, t2y: 1
seq1, epoch3, step: 240, training: 0.625, loss_tr: 1.13402, loss_t: 0.749194, testing: 0.722222, t2y: 0.833333
seq1, epoch3, step: 250, training: 1, loss_tr: 1.10149, loss_t: 0.728219, testing: 0.777778, t2y: 0.833333
seq1, epoch3, step: 260, training: 0.9375, loss_tr: 0.997648, loss_t: 0.689204, testing: 0.888889, t2y: 1
seq1, epoch3, step: 270, training: 0.9375, loss_tr: 0.833082, loss_t: 0.667107, testing: 0.888889, t2y: 1
seq1, epoch3, step: 280, training: 0.875, loss_tr: 0.900322, loss_t: 0.639285, testing: 0.888889, t2y: 0.833333
seq1, epoch3, step: 290, training: 0.9375, loss_tr: 0.855246, loss_t: 0.631048, testing: 0.833333, t2y: 0.833333
seq1, epoch3, step: 300, training: 0.8125, loss_tr: 0.91603, loss_t: 0.639603, testing: 0.777778, t2y: 0.833333
seq1, epoch3, step: 310, training: 0.75, loss_tr: 1.00261, loss_t: 0.630785, testing: 0.777778, t2y: 0.833333
seq1, epoch4, step: 320, training: 0.9375, loss_tr: 0.915519, loss_t: 0.600997, testing: 0.833333, t2y: 1
seq1, epoch4, step: 330, training: 0.8125, loss_tr: 0.863091, loss_t: 0.562247, testing: 0.888889, t2y: 0.833333
seq1, epoch4, step: 340, training: 0.8125, loss_tr: 0.77597, loss_t: 0.546828, testing: 0.888889, t2y: 0.833333
seq1, epoch4, step: 350, training: 0.875, loss_tr: 0.813884, loss_t: 0.538424, testing: 0.888889, t2y: 1
seq1, epoch4, step: 360, training: 1, loss_tr: 0.781917, loss_t: 0.530397, testing: 0.888889, t2y: 1
seq1, epoch4, step: 370, training: 0.9375, loss_tr: 0.615139, loss_t: 0.515733, testing: 0.888889, t2y: 0.833333
seq1, epoch4, step: 380, training: 1, loss_tr: 0.651634, loss_t: 0.50277, testing: 0.833333, t2y: 1
seq1, epoch4, step: 390, training: 1, loss_tr: 0.640707, loss_t: 0.46839, testing: 0.888889, t2y: 1
seq1, epoch5, step: 400, training: 1, loss_tr: 0.745185, loss_t: 0.453044, testing: 0.888889, t2y: 0.833333
seq1, epoch5, step: 410, training: 1, loss_tr: 0.683316, loss_t: 0.431598, testing: 0.888889, t2y: 1
seq1, epoch5, step: 420, training: 1, loss_tr: 0.564439, loss_t: 0.430956, testing: 0.888889, t2y: 1
seq1, epoch5, step: 430, training: 1, loss_tr: 0.432295, loss_t: 0.411766, testing: 0.888889, t2y: 1
seq1, epoch5, step: 440, training: 0.875, loss_tr: 0.406893, loss_t: 0.41268, testing: 0.888889, t2y: 1
seq1, epoch5, step: 450, training: 1, loss_tr: 0.487153, loss_t: 0.396391, testing: 0.888889, t2y: 1
seq1, epoch5, step: 460, training: 0.9375, loss_tr: 0.498824, loss_t: 0.386292, testing: 0.888889, t2y: 1
seq1, epoch5, step: 470, training: 1, loss_tr: 0.528856, loss_t: 0.361152, testing: 0.888889, t2y: 1
seq1, epoch6, step: 480, training: 0.9375, loss_tr: 0.527902, loss_t: 0.346062, testing: 0.888889, t2y: 1
seq1, epoch6, step: 490, training: 1, loss_tr: 0.530654, loss_t: 0.342981, testing: 0.888889, t2y: 1
seq1, epoch6, step: 500, training: 1, loss_tr: 0.425018, loss_t: 0.357059, testing: 0.888889, t2y: 1
seq1, epoch6, step: 510, training: 1, loss_tr: 0.484742, loss_t: 0.356118, testing: 0.833333, t2y: 1
 
****************************************
current sequence is 2
****************************************
seq2, epoch0, step: 0, training: 0.25, loss_tr: 4.4692, loss_t: 2.94009, testing: 0.166667, t2y: 0.333333
seq2, epoch0, step: 10, training: 0, loss_tr: 3.92317, loss_t: 2.60287, testing: 0.166667, t2y: 0.166667
seq2, epoch0, step: 20, training: 0.1875, loss_tr: 3.37335, loss_t: 2.26603, testing: 0.222222, t2y: 0.333333
seq2, epoch0, step: 30, training: 0.1875, loss_tr: 2.70374, loss_t: 1.90477, testing: 0.277778, t2y: 0.333333
seq2, epoch0, step: 40, training: 0.3125, loss_tr: 2.41846, loss_t: 1.81416, testing: 0.333333, t2y: 0.333333
seq2, epoch0, step: 50, training: 0.3125, loss_tr: 2.1103, loss_t: 1.6868, testing: 0.333333, t2y: 0.5
seq2, epoch0, step: 60, training: 0.6875, loss_tr: 1.93814, loss_t: 1.57023, testing: 0.333333, t2y: 0.5
seq2, epoch0, step: 70, training: 0.4375, loss_tr: 1.86076, loss_t: 1.52328, testing: 0.333333, t2y: 0.333333
seq2, epoch1, step: 80, training: 0.5625, loss_tr: 1.73721, loss_t: 1.4917, testing: 0.333333, t2y: 0.5
seq2, epoch1, step: 90, training: 0.75, loss_tr: 1.50437, loss_t: 1.46392, testing: 0.333333, t2y: 0.5
