****************************************
current sequence is 1
****************************************
epoch: 0, step 0, training: 0.133333, testing: 0.166667, loss: 409770, anv: 0.0166667, best 0.0166667 
epoch: 10, step 460, training: 0.133333, testing: 0.166667, loss: 2.15333, anv: 0.166667, best 0.2 
epoch: 11, step 480, training: 0, testing: 0.166667, loss: 2.09312, anv: 0.166667, best 0.2 
epoch: 11, step 500, training: 0.0666667, testing: 0.166667, loss: 1.7385, anv: 0.166667, best 0.2 
epoch: 12, step 520, training: 0.266667, testing: 0.166667, loss: 1.90102, anv: 0.166667, best 0.2 
epoch: 12, step 540, training: 0.333333, testing: 0.166667, loss: 2.00212, anv: 0.166667, best 0.2 
epoch: 13, step 560, training: 0.133333, testing: 0.166667, loss: 1.75846, anv: 0.166667, best 0.2 
epoch: 13, step 580, training: 0, testing: 0.166667, loss: 1.93503, anv: 0.166667, best 0.2 
epoch: 13, step 600, training: 0.133333, testing: 0.166667, loss: 1.75275, anv: 0.166667, best 0.2 
epoch: 14, step 620, training: 0.333333, testing: 0.166667, loss: 1.82741, anv: 0.166667, best 0.2 
epoch: 14, step 640, training: 0, testing: 0.166667, loss: 1.7141, anv: 0.166667, best 0.2 
epoch: 15, step 660, training: 0.0666667, testing: 0.166667, loss: 1.82546, anv: 0.166667, best 0.2 
epoch: 15, step 680, training: 0.2, testing: 0.166667, loss: 1.8866, anv: 0.166667, best 0.2 
epoch: 16, step 700, training: 0.133333, testing: 0.166667, loss: 1.78678, anv: 0.166667, best 0.2 
epoch: 16, step 720, training: 0.266667, testing: 0.166667, loss: 1.72708, anv: 0.166667, best 0.2 
epoch: 17, step 740, training: 0.4, testing: 0.166667, loss: 1.80927, anv: 0.166667, best 0.2 
epoch: 17, step 760, training: 0.133333, testing: 0.166667, loss: 1.83022, anv: 0.166667, best 0.2 
epoch: 18, step 780, training: 0.333333, testing: 0.166667, loss: 1.81687, anv: 0.166667, best 0.2 
epoch: 18, step 800, training: 0.0666667, testing: 0.166667, loss: 1.82602, anv: 0.166667, best 0.2 
epoch: 19, step 820, training: 0.133333, testing: 0.166667, loss: 1.87909, anv: 0.166667, best 0.2 
epoch: 19, step 840, training: 0.133333, testing: 0.166667, loss: 1.75861, anv: 0.166667, best 0.2 
epoch: 20, step 860, training: 0.2, testing: 0.166667, loss: 1.91179, anv: 0.166667, best 0.2 
epoch: 20, step 880, training: 0.333333, testing: 0.166667, loss: 1.77269, anv: 0.166667, best 0.2 
epoch: 20, step 900, training: 0.133333, testing: 0.166667, loss: 1.92499, anv: 0.166667, best 0.2 
epoch: 21, step 920, training: 0.133333, testing: 0.166667, loss: 1.91198, anv: 0.166667, best 0.2 
epoch: 21, step 940, training: 0.133333, testing: 0.166667, loss: 1.84533, anv: 0.166667, best 0.2 
epoch: 22, step 960, training: 0, testing: 0.166667, loss: 1.96363, anv: 0.166667, best 0.2 
epoch: 22, step 980, training: 0.333333, testing: 0.166667, loss: 1.81176, anv: 0.166667, best 0.2 
epoch: 23, step 1000, training: 0.266667, testing: 0.166667, loss: 1.9538, anv: 0.166667, best 0.2 
epoch: 23, step 1020, training: 0.333333, testing: 0.166667, loss: 1.95571, anv: 0.166667, best 0.2 
epoch: 24, step 1040, training: 0.0666667, testing: 0.166667, loss: 1.85692, anv: 0.166667, best 0.2 
epoch: 24, step 1060, training: 0.0666667, testing: 0.166667, loss: 1.71938, anv: 0.166667, best 0.2 
epoch: 25, step 1080, training: 0.133333, testing: 0.166667, loss: 1.76262, anv: 0.166667, best 0.2 
epoch: 25, step 1100, training: 0.2, testing: 0.166667, loss: 1.80947, anv: 0.166667, best 0.2 
epoch: 26, step 1120, training: 0.0666667, testing: 0.166667, loss: 1.68993, anv: 0.166667, best 0.2 
epoch: 26, step 1140, training: 0.2, testing: 0.166667, loss: 1.80145, anv: 0.166667, best 0.2 
epoch: 26, step 1160, training: 0.0666667, testing: 0.166667, loss: 1.83047, anv: 0.166667, best 0.2 
epoch: 27, step 1180, training: 0.4, testing: 0.166667, loss: 1.69031, anv: 0.166667, best 0.2 
epoch: 27, step 1200, training: 0.4, testing: 0.166667, loss: 1.7452, anv: 0.166667, best 0.2 
epoch: 28, step 1220, training: 0.133333, testing: 0.166667, loss: 1.93982, anv: 0.166667, best 0.2 
epoch: 28, step 1240, training: 0.333333, testing: 0.166667, loss: 1.80326, anv: 0.166667, best 0.2 
epoch: 29, step 1260, training: 0.2, testing: 0.166667, loss: 1.91779, anv: 0.166667, best 0.2 
epoch: 29, step 1280, training: 0, testing: 0.166667, loss: 1.91012, anv: 0.166667, best 0.2 
epoch: 30, step 1300, training: 0.133333, testing: 0.166667, loss: 1.76927, anv: 0.166667, best 0.2 
epoch: 30, step 1320, training: 0.133333, testing: 0.166667, loss: 1.81234, anv: 0.166667, best 0.2 
epoch: 31, step 1340, training: 0.333333, testing: 0.166667, loss: 1.76334, anv: 0.166667, best 0.2 
epoch: 31, step 1360, training: 0.266667, testing: 0.166667, loss: 1.80508, anv: 0.166667, best 0.2 
epoch: 32, step 1380, training: 0, testing: 0.166667, loss: 1.78117, anv: 0.166667, best 0.2 
epoch: 32, step 1400, training: 0, testing: 0.166667, loss: 1.74026, anv: 0.166667, best 0.2 
epoch: 33, step 1420, training: 0.133333, testing: 0.166667, loss: 1.85642, anv: 0.166667, best 0.2 
epoch: 33, step 1440, training: 0.4, testing: 0.166667, loss: 1.61695, anv: 0.166667, best 0.2 
epoch: 33, step 1460, training: 0.133333, testing: 0.166667, loss: 1.9729, anv: 0.166667, best 0.2 
epoch: 34, step 1480, training: 0.2, testing: 0.166667, loss: 1.87408, anv: 0.166667, best 0.2 
epoch: 34, step 1500, training: 0.133333, testing: 0.166667, loss: 1.98568, anv: 0.166667, best 0.2 
epoch: 35, step 1520, training: 0.133333, testing: 0.166667, loss: 1.8026, anv: 0.166667, best 0.2 
epoch: 35, step 1540, training: 0.2, testing: 0.166667, loss: 1.93735, anv: 0.166667, best 0.2 
epoch: 36, step 1560, training: 0.266667, testing: 0.166667, loss: 1.86163, anv: 0.166667, best 0.2 
epoch: 36, step 1580, training: 0.2, testing: 0.166667, loss: 1.80482, anv: 0.166667, best 0.2 
epoch: 37, step 1600, training: 0.0666667, testing: 0.166667, loss: 1.89984, anv: 0.166667, best 0.2 
epoch: 37, step 1620, training: 0.133333, testing: 0.166667, loss: 1.96246, anv: 0.166667, best 0.2 
epoch: 38, step 1640, training: 0.333333, testing: 0.166667, loss: 1.79628, anv: 0.166667, best 0.2 
epoch: 38, step 1660, training: 0.266667, testing: 0.166667, loss: 1.92005, anv: 0.166667, best 0.2 
epoch: 39, step 1680, training: 0.133333, testing: 0.166667, loss: 1.80809, anv: 0.166667, best 0.2 
epoch: 39, step 1700, training: 0.2, testing: 0.166667, loss: 1.83863, anv: 0.166667, best 0.2 
epoch: 40, step 1720, training: 0.133333, testing: 0.166667, loss: 1.86326, anv: 0.166667, best 0.2 
epoch: 40, step 1740, training: 0.0666667, testing: 0.166667, loss: 1.95697, anv: 0.166667, best 0.2 
epoch: 40, step 1760, training: 0.133333, testing: 0.166667, loss: 1.69578, anv: 0.166667, best 0.2 
epoch: 41, step 1780, training: 0.0666667, testing: 0.166667, loss: 1.66733, anv: 0.166667, best 0.2 
epoch: 41, step 1800, training: 0.133333, testing: 0.166667, loss: 1.76851, anv: 0.166667, best 0.2 
epoch: 42, step 1820, training: 0.2, testing: 0.166667, loss: 1.89258, anv: 0.166667, best 0.2 
epoch: 42, step 1840, training: 0.133333, testing: 0.166667, loss: 1.86119, anv: 0.166667, best 0.2 
epoch: 43, step 1860, training: 0.333333, testing: 0.166667, loss: 1.8898, anv: 0.166667, best 0.2 
epoch: 43, step 1880, training: 0.2, testing: 0.166667, loss: 1.87594, anv: 0.166667, best 0.2 
epoch: 44, step 1900, training: 0, testing: 0.166667, loss: 1.86821, anv: 0.166667, best 0.2 
epoch: 44, step 1920, training: 0.0666667, testing: 0.166667, loss: 1.75332, anv: 0.166667, best 0.2 
epoch: 45, step 1940, training: 0.133333, testing: 0.166667, loss: 1.86573, anv: 0.166667, best 0.2 
epoch: 45, step 1960, training: 0.133333, testing: 0.166667, loss: 1.97318, anv: 0.166667, best 0.2 
epoch: 46, step 1980, training: 0.2, testing: 0.166667, loss: 1.9116, anv: 0.166667, best 0.2 
epoch: 46, step 2000, training: 0.266667, testing: 0.166667, loss: 1.6891, anv: 0.166667, best 0.2 
epoch: 46, step 2020, training: 0.133333, testing: 0.166667, loss: 1.88002, anv: 0.166667, best 0.2 
epoch: 47, step 2040, training: 0.0666667, testing: 0.166667, loss: 1.89719, anv: 0.166667, best 0.2 
epoch: 47, step 2060, training: 0.2, testing: 0.166667, loss: 1.81584, anv: 0.166667, best 0.2 
epoch: 48, step 2080, training: 0.2, testing: 0.166667, loss: 1.93121, anv: 0.166667, best 0.2 
epoch: 48, step 2100, training: 0.133333, testing: 0.166667, loss: 1.93208, anv: 0.166667, best 0.2 
epoch: 49, step 2120, training: 0.133333, testing: 0.166667, loss: 1.81012, anv: 0.166667, best 0.2 
epoch: 49, step 2140, training: 0.133333, testing: 0.166667, loss: 1.79657, anv: 0.166667, best 0.2 
epoch: 50, step 2160, training: 0.0666667, testing: 0.166667, loss: 1.79497, anv: 0.166667, best 0.2 
epoch: 50, step 2180, training: 0.133333, testing: 0.166667, loss: 1.86818, anv: 0.166667, best 0.2 
epoch: 51, step 2200, training: 0.0666667, testing: 0.166667, loss: 1.92121, anv: 0.166667, best 0.2 
epoch: 51, step 2220, training: 0.133333, testing: 0.166667, loss: 1.81026, anv: 0.166667, best 0.2 
epoch: 52, step 2240, training: 0.0666667, testing: 0.166667, loss: 1.77612, anv: 0.166667, best 0.2 
epoch: 52, step 2260, training: 0.0666667, testing: 0.166667, loss: 1.77753, anv: 0.166667, best 0.2 
epoch: 53, step 2280, training: 0.266667, testing: 0.166667, loss: 1.8238, anv: 0.166667, best 0.2 
epoch: 53, step 2300, training: 0.266667, testing: 0.166667, loss: 1.85215, anv: 0.166667, best 0.2 
epoch: 53, step 2320, training: 0.0666667, testing: 0.166667, loss: 1.82713, anv: 0.166667, best 0.2 
epoch: 54, step 2340, training: 0.133333, testing: 0.166667, loss: 1.83, anv: 0.166667, best 0.2 
epoch: 54, step 2360, training: 0.133333, testing: 0.166667, loss: 1.89043, anv: 0.166667, best 0.2 
epoch: 55, step 2380, training: 0.0666667, testing: 0.166667, loss: 1.75204, anv: 0.166667, best 0.2 
epoch: 55, step 2400, training: 0, testing: 0.166667, loss: 1.7131, anv: 0.166667, best 0.2 
epoch: 56, step 2420, training: 0.2, testing: 0.166667, loss: 1.75249, anv: 0.166667, best 0.2 
epoch: 56, step 2440, training: 0.333333, testing: 0.166667, loss: 1.77273, anv: 0.166667, best 0.2 
epoch: 57, step 2460, training: 0.266667, testing: 0.166667, loss: 1.84448, anv: 0.166667, best 0.2 
epoch: 57, step 2480, training: 0.2, testing: 0.166667, loss: 1.78092, anv: 0.166667, best 0.2 
epoch: 58, step 2500, training: 0.2, testing: 0.166667, loss: 1.8083, anv: 0.166667, best 0.2 
epoch: 58, step 2520, training: 0.333333, testing: 0.166667, loss: 1.80658, anv: 0.166667, best 0.2 
epoch: 59, step 2540, training: 0.2, testing: 0.166667, loss: 1.77499, anv: 0.166667, best 0.2 
epoch: 59, step 2560, training: 0.266667, testing: 0.166667, loss: 1.72506, anv: 0.166667, best 0.2 
epoch: 60, step 2580, training: 0.133333, testing: 0.166667, loss: 1.80674, anv: 0.166667, best 0.2 
epoch: 60, step 2600, training: 0.333333, testing: 0.166667, loss: 1.81446, anv: 0.166667, best 0.2 
epoch: 60, step 2620, training: 0.133333, testing: 0.166667, loss: 1.71847, anv: 0.166667, best 0.2 
epoch: 61, step 2640, training: 0, testing: 0.166667, loss: 1.77749, anv: 0.166667, best 0.2 
epoch: 61, step 2660, training: 0.0666667, testing: 0.166667, loss: 1.75161, anv: 0.166667, best 0.2 
epoch: 62, step 2680, training: 0.266667, testing: 0.166667, loss: 1.75013, anv: 0.166667, best 0.2 
epoch: 62, step 2700, training: 0.4, testing: 0.166667, loss: 1.82984, anv: 0.166667, best 0.2 
epoch: 63, step 2720, training: 0.133333, testing: 0.166667, loss: 1.76014, anv: 0.166667, best 0.2 
epoch: 63, step 2740, training: 0.133333, testing: 0.166667, loss: 1.85697, anv: 0.166667, best 0.2 
epoch: 64, step 2760, training: 0.2, testing: 0.166667, loss: 1.823, anv: 0.166667, best 0.2 
epoch: 64, step 2780, training: 0, testing: 0.166667, loss: 1.80504, anv: 0.166667, best 0.2 
epoch: 65, step 2800, training: 0.133333, testing: 0.166667, loss: 1.96362, anv: 0.166667, best 0.2 
epoch: 65, step 2820, training: 0.266667, testing: 0.166667, loss: 1.80758, anv: 0.166667, best 0.2 
epoch: 66, step 2840, training: 0.2, testing: 0.166667, loss: 1.85984, anv: 0.166667, best 0.2 
epoch: 66, step 2860, training: 0.266667, testing: 0.166667, loss: 1.85753, anv: 0.166667, best 0.2 
epoch: 66, step 2880, training: 0.0666667, testing: 0.166667, loss: 1.7741, anv: 0.166667, best 0.2 
epoch: 67, step 2900, training: 0.133333, testing: 0.166667, loss: 1.91657, anv: 0.166667, best 0.2 
epoch: 67, step 2920, training: 0, testing: 0.166667, loss: 1.82324, anv: 0.166667, best 0.2 
epoch: 68, step 2940, training: 0.133333, testing: 0.166667, loss: 1.76427, anv: 0.166667, best 0.2 
epoch: 68, step 2960, training: 0.333333, testing: 0.166667, loss: 1.85807, anv: 0.166667, best 0.2 
epoch: 69, step 2980, training: 0.466667, testing: 0.166667, loss: 1.82745, anv: 0.166667, best 0.2 
epoch: 69, step 3000, training: 0, testing: 0.166667, loss: 1.89183, anv: 0.166667, best 0.2 
epoch: 70, step 3020, training: 0.133333, testing: 0.166667, loss: 1.78826, anv: 0.166667, best 0.2 
epoch: 70, step 3040, training: 0.2, testing: 0.166667, loss: 1.76027, anv: 0.166667, best 0.2 
epoch: 71, step 3060, training: 0.2, testing: 0.166667, loss: 1.83719, anv: 0.166667, best 0.2 
epoch: 71, step 3080, training: 0.2, testing: 0.166667, loss: 1.90213, anv: 0.166667, best 0.2 
epoch: 72, step 3100, training: 0.0666667, testing: 0.166667, loss: 1.75288, anv: 0.166667, best 0.2 
epoch: 72, step 3120, training: 0.0666667, testing: 0.166667, loss: 1.79686, anv: 0.166667, best 0.2 
epoch: 73, step 3140, training: 0.133333, testing: 0.166667, loss: 1.81479, anv: 0.166667, best 0.2 
epoch: 73, step 3160, training: 0.0666667, testing: 0.166667, loss: 1.73979, anv: 0.166667, best 0.2 
epoch: 73, step 3180, training: 0, testing: 0.166667, loss: 1.79013, anv: 0.166667, best 0.2 
epoch: 74, step 3200, training: 0.4, testing: 0.166667, loss: 1.79825, anv: 0.166667, best 0.2 
epoch: 74, step 3220, training: 0, testing: 0.166667, loss: 1.83546, anv: 0.166667, best 0.2 
epoch: 75, step 3240, training: 0.133333, testing: 0.166667, loss: 1.73239, anv: 0.166667, best 0.2 
epoch: 75, step 3260, training: 0.0666667, testing: 0.166667, loss: 1.8338, anv: 0.166667, best 0.2 
epoch: 76, step 3280, training: 0, testing: 0.166667, loss: 1.8349, anv: 0.166667, best 0.2 
epoch: 76, step 3300, training: 0.0666667, testing: 0.166667, loss: 1.84697, anv: 0.166667, best 0.2 
epoch: 77, step 3320, training: 0.0666667, testing: 0.166667, loss: 1.78934, anv: 0.166667, best 0.2 
epoch: 77, step 3340, training: 0.0666667, testing: 0.166667, loss: 1.74405, anv: 0.166667, best 0.2 
epoch: 78, step 3360, training: 0.4, testing: 0.166667, loss: 1.79854, anv: 0.166667, best 0.2 
epoch: 78, step 3380, training: 0.2, testing: 0.166667, loss: 1.76312, anv: 0.166667, best 0.2 
epoch: 79, step 3400, training: 0, testing: 0.166667, loss: 1.81591, anv: 0.166667, best 0.2 
epoch: 79, step 3420, training: 0, testing: 0.166667, loss: 1.78595, anv: 0.166667, best 0.2 
epoch: 80, step 3440, training: 0.333333, testing: 0.166667, loss: 1.79321, anv: 0.166667, best 0.2 
epoch: 80, step 3460, training: 0.133333, testing: 0.166667, loss: 1.78769, anv: 0.166667, best 0.2 
epoch: 80, step 3480, training: 0.2, testing: 0.166667, loss: 1.83247, anv: 0.166667, best 0.2 
epoch: 81, step 3500, training: 0.133333, testing: 0.166667, loss: 1.80982, anv: 0.166667, best 0.2 
epoch: 81, step 3520, training: 0.133333, testing: 0.166667, loss: 1.89687, anv: 0.166667, best 0.2 
epoch: 82, step 3540, training: 0.0666667, testing: 0.166667, loss: 1.89567, anv: 0.166667, best 0.2 
epoch: 82, step 3560, training: 0, testing: 0.166667, loss: 1.80318, anv: 0.166667, best 0.2 
epoch: 83, step 3580, training: 0.266667, testing: 0.166667, loss: 1.85931, anv: 0.166667, best 0.2 
epoch: 83, step 3600, training: 0.133333, testing: 0.166667, loss: 1.88619, anv: 0.166667, best 0.2 
epoch: 84, step 3620, training: 0.2, testing: 0.166667, loss: 1.89466, anv: 0.166667, best 0.2 
epoch: 84, step 3640, training: 0.333333, testing: 0.166667, loss: 1.85689, anv: 0.166667, best 0.2 
epoch: 85, step 3660, training: 0.0666667, testing: 0.166667, loss: 1.87811, anv: 0.166667, best 0.2 
epoch: 85, step 3680, training: 0.333333, testing: 0.166667, loss: 1.79847, anv: 0.166667, best 0.2 
epoch: 86, step 3700, training: 0.2, testing: 0.166667, loss: 1.85799, anv: 0.166667, best 0.2 
epoch: 86, step 3720, training: 0.133333, testing: 0.166667, loss: 1.78229, anv: 0.166667, best 0.2 
epoch: 86, step 3740, training: 0.0666667, testing: 0.166667, loss: 1.86187, anv: 0.166667, best 0.2 
epoch: 87, step 3760, training: 0.2, testing: 0.166667, loss: 1.74639, anv: 0.166667, best 0.2 
epoch: 87, step 3780, training: 0.133333, testing: 0.166667, loss: 1.86007, anv: 0.166667, best 0.2 
epoch: 88, step 3800, training: 0.2, testing: 0.166667, loss: 1.83298, anv: 0.166667, best 0.2 
epoch: 88, step 3820, training: 0, testing: 0.166667, loss: 1.84984, anv: 0.166667, best 0.2 
epoch: 89, step 3840, training: 0.0666667, testing: 0.166667, loss: 1.80569, anv: 0.166667, best 0.2 
epoch: 89, step 3860, training: 0.2, testing: 0.166667, loss: 1.89973, anv: 0.166667, best 0.2 
epoch: 90, step 3880, training: 0.2, testing: 0.166667, loss: 1.82884, anv: 0.166667, best 0.2 
epoch: 90, step 3900, training: 0, testing: 0.166667, loss: 1.80253, anv: 0.166667, best 0.2 
epoch: 91, step 3920, training: 0.266667, testing: 0.166667, loss: 1.77234, anv: 0.166667, best 0.2 
epoch: 91, step 3940, training: 0.0666667, testing: 0.166667, loss: 1.84777, anv: 0.166667, best 0.2 
epoch: 92, step 3960, training: 0.133333, testing: 0.166667, loss: 1.81084, anv: 0.166667, best 0.2 
epoch: 92, step 3980, training: 0.2, testing: 0.166667, loss: 1.80465, anv: 0.166667, best 0.2 
epoch: 93, step 4000, training: 0.133333, testing: 0.166667, loss: 1.75863, anv: 0.166667, best 0.2 
