Tue May  9 13:14:51 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 3
****************************************
epoch: 0, step: 0, training: 0.375, loss: 5.8521e+10, testing: 0, t2y: 0.333333, anv: 0, best: 0 
epoch: 23, step: 460, training: 1, loss: 7.72897e+08, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
epoch: 24, step: 480, training: 1, loss: 3.20168e+09, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
epoch: 25, step: 500, training: 1, loss: 5.26416e+09, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
epoch: 26, step: 520, training: 1, loss: 1.16882e+09, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
epoch: 27, step: 540, training: 1, loss: 1.58105e+09, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
epoch: 28, step: 560, training: 1, loss: 2.06835e+09, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
epoch: 29, step: 580, training: 1, loss: 2.75498e+09, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
epoch: 30, step: 600, training: 1, loss: 2.97924e+09, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
epoch: 31, step: 620, training: 1, loss: 8.56072e+08, testing: 0.833333, t2y: 0.833333, anv: 0.833333, best: 0.833333 
 
****************************************
current sequence is 4
****************************************
epoch: 0, step: 0, training: 0.3125, loss: 3.85391e+10, testing: 0.166667, t2y: 0.5, anv: 0.0555556, best: 0.0555556 
epoch: 1, step: 20, training: 0.625, loss: 1.9551e+10, testing: 0.333333, t2y: 0.333333, anv: 0.166667, best: 0.166667 
epoch: 2, step: 40, training: 0.875, loss: 1.472e+10, testing: 0.333333, t2y: 0.333333, anv: 0.277778, best: 0.277778 
epoch: 3, step: 60, training: 0.875, loss: 2.2938e+09, testing: 0.333333, t2y: 0.5, anv: 0.333333, best: 0.333333 
epoch: 4, step: 80, training: 0.75, loss: 4.36837e+09, testing: 0.5, t2y: 0.666667, anv: 0.388889, best: 0.388889 
epoch: 5, step: 100, training: 0.9375, loss: 3.14565e+09, testing: 0.333333, t2y: 0.5, anv: 0.388889, best: 0.388889 
epoch: 6, step: 120, training: 0.875, loss: 3.65981e+09, testing: 0.333333, t2y: 0.5, anv: 0.388889, best: 0.388889 
epoch: 7, step: 140, training: 0.9375, loss: 4.15063e+09, testing: 0.5, t2y: 0.666667, anv: 0.388889, best: 0.388889 
epoch: 8, step: 160, training: 0.9375, loss: 6.42853e+09, testing: 0.5, t2y: 0.666667, anv: 0.444444, best: 0.444444 
epoch: 9, step: 180, training: 1, loss: 5.7146e+08, testing: 0.666667, t2y: 0.666667, anv: 0.555556, best: 0.555556 
epoch: 10, step: 200, training: 1, loss: 1.45094e+09, testing: 0.5, t2y: 0.666667, anv: 0.555556, best: 0.555556 
epoch: 11, step: 220, training: 1, loss: 3.48737e+09, testing: 0.5, t2y: 0.666667, anv: 0.555556, best: 0.555556 
epoch: 12, step: 240, training: 1, loss: 3.33744e+09, testing: 0.666667, t2y: 0.666667, anv: 0.555556, best: 0.555556 
epoch: 13, step: 260, training: 1, loss: 3.02386e+09, testing: 0.5, t2y: 0.666667, anv: 0.555556, best: 0.555556 
epoch: 14, step: 280, training: 1, loss: 3.74573e+09, testing: 0.5, t2y: 0.666667, anv: 0.555556, best: 0.555556 
epoch: 15, step: 300, training: 1, loss: 1.61243e+09, testing: 0.5, t2y: 0.666667, anv: 0.5, best: 0.555556 
epoch: 16, step: 320, training: 1, loss: 9.44631e+08, testing: 0.666667, t2y: 0.666667, anv: 0.555556, best: 0.555556 
epoch: 17, step: 340, training: 1, loss: 3.03838e+09, testing: 0.666667, t2y: 0.666667, anv: 0.611111, best: 0.611111 
epoch: 18, step: 360, training: 1, loss: 3.02177e+09, testing: 0.5, t2y: 0.666667, anv: 0.611111, best: 0.611111 
epoch: 19, step: 380, training: 1, loss: 1.59622e+09, testing: 0.5, t2y: 0.666667, anv: 0.555556, best: 0.611111 
epoch: 20, step: 400, training: 1, loss: 2.49111e+09, testing: 0.666667, t2y: 0.666667, anv: 0.555556, best: 0.611111 
epoch: 21, step: 420, training: 1, loss: 1.7738e+09, testing: 0.5, t2y: 0.666667, anv: 0.555556, best: 0.611111 
epoch: 22, step: 440, training: 1, loss: 1.04324e+09, testing: 0.5, t2y: 0.666667, anv: 0.555556, best: 0.611111 
