Mon Apr 10 09:23:32 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 3
****************************************
step 0, training: 0.08, testing: 0, anv: 0, best 0 
step 655, training: 0.84, testing: 0.833333, anv: 0.833333, best 0.833333 
step 660, training: 0.8, testing: 0.833333, anv: 0.833333, best 0.833333 
step 665, training: 0.76, testing: 0.833333, anv: 0.833333, best 0.833333 
step 670, training: 0.84, testing: 0.833333, anv: 0.833333, best 0.833333 
step 675, training: 0.92, testing: 0.833333, anv: 0.833333, best 0.833333 
step 680, training: 0.88, testing: 0.833333, anv: 0.833333, best 0.833333 
step 685, training: 0.8, testing: 0.833333, anv: 0.833333, best 0.833333 
step 690, training: 0.84, testing: 0.833333, anv: 0.833333, best 0.833333 
step 695, training: 0.92, testing: 0.833333, anv: 0.833333, best 0.833333 
step 700, training: 0.88, testing: 0.833333, anv: 0.833333, best 0.833333 
step 705, training: 0.72, testing: 0.833333, anv: 0.833333, best 0.833333 
step 710, training: 0.88, testing: 0.833333, anv: 0.833333, best 0.833333 
step 715, training: 0.76, testing: 0.833333, anv: 0.833333, best 0.833333 
step 720, training: 0.88, testing: 0.833333, anv: 0.833333, best 0.833333 
step 725, training: 0.84, testing: 0.833333, anv: 0.833333, best 0.833333 
step 730, training: 0.72, testing: 0.833333, anv: 0.833333, best 0.833333 
step 735, training: 0.76, testing: 0.833333, anv: 0.833333, best 0.833333 
step 740, training: 0.84, testing: 0.833333, anv: 0.833333, best 0.833333 
step 745, training: 0.72, testing: 0.833333, anv: 0.833333, best 0.833333 
step 750, training: 0.88, testing: 0.833333, anv: 0.833333, best 0.833333 
step 755, training: 0.76, testing: 0.833333, anv: 0.833333, best 0.833333 
 
****************************************
current sequence is 4
****************************************
step 0, training: 0.08, testing: 0.166667, anv: 0.0555556, best 0.0555556 
step 5, training: 0.12, testing: 0.166667, anv: 0.111111, best 0.111111 
step 10, training: 0.04, testing: 0.166667, anv: 0.166667, best 0.166667 
step 15, training: 0.24, testing: 0.166667, anv: 0.166667, best 0.166667 
step 20, training: 0.28, testing: 0.333333, anv: 0.222222, best 0.222222 
step 25, training: 0.32, testing: 0.166667, anv: 0.222222, best 0.222222 
step 30, training: 0.24, testing: 0.166667, anv: 0.222222, best 0.222222 
step 35, training: 0.4, testing: 0.333333, anv: 0.222222, best 0.222222 
step 40, training: 0.48, testing: 0.333333, anv: 0.277778, best 0.277778 
step 45, training: 0.56, testing: 0.5, anv: 0.388889, best 0.388889 
step 50, training: 0.44, testing: 0.333333, anv: 0.388889, best 0.388889 
step 55, training: 0.64, testing: 0.333333, anv: 0.388889, best 0.388889 
step 60, training: 0.64, testing: 0.166667, anv: 0.277778, best 0.388889 
step 65, training: 0.68, testing: 0.166667, anv: 0.222222, best 0.388889 
step 70, training: 0.6, testing: 0.166667, anv: 0.166667, best 0.388889 
step 75, training: 0.64, testing: 0.166667, anv: 0.166667, best 0.388889 
step 80, training: 0.64, testing: 0.333333, anv: 0.222222, best 0.388889 
step 85, training: 0.68, testing: 0.333333, anv: 0.277778, best 0.388889 
step 90, training: 0.56, testing: 0.166667, anv: 0.277778, best 0.388889 
step 95, training: 0.68, testing: 0.333333, anv: 0.277778, best 0.388889 
step 100, training: 0.64, testing: 0.333333, anv: 0.277778, best 0.388889 
step 105, training: 0.52, testing: 0.5, anv: 0.388889, best 0.388889 
step 110, training: 0.76, testing: 0.5, anv: 0.444444, best 0.444444 
step 115, training: 0.76, testing: 0.5, anv: 0.5, best 0.5 
step 120, training: 0.76, testing: 0.5, anv: 0.5, best 0.5 
step 125, training: 0.76, testing: 0.5, anv: 0.5, best 0.5 
step 130, training: 0.76, testing: 0.5, anv: 0.5, best 0.5 
step 135, training: 0.6, testing: 0.5, anv: 0.5, best 0.5 
step 140, training: 0.68, testing: 0.5, anv: 0.5, best 0.5 
step 145, training: 0.84, testing: 0.5, anv: 0.5, best 0.5 
step 150, training: 0.6, testing: 0.5, anv: 0.5, best 0.5 
step 155, training: 0.76, testing: 0.5, anv: 0.5, best 0.5 
step 160, training: 0.68, testing: 0.5, anv: 0.5, best 0.5 
step 165, training: 0.8, testing: 0.5, anv: 0.5, best 0.5 
step 170, training: 0.68, testing: 0.5, anv: 0.5, best 0.5 
step 175, training: 0.8, testing: 0.666667, anv: 0.555556, best 0.555556 
step 180, training: 0.72, testing: 0.666667, anv: 0.611111, best 0.611111 
step 185, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 190, training: 0.52, testing: 0.666667, anv: 0.666667, best 0.666667 
step 195, training: 0.6, testing: 0.5, anv: 0.611111, best 0.666667 
step 200, training: 0.8, testing: 0.5, anv: 0.555556, best 0.666667 
step 205, training: 0.84, testing: 0.5, anv: 0.5, best 0.666667 
step 210, training: 0.68, testing: 0.5, anv: 0.5, best 0.666667 
step 215, training: 0.72, testing: 0.5, anv: 0.5, best 0.666667 
step 220, training: 0.8, testing: 0.666667, anv: 0.555556, best 0.666667 
step 225, training: 0.76, testing: 0.666667, anv: 0.611111, best 0.666667 
step 230, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 235, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 240, training: 0.6, testing: 0.666667, anv: 0.666667, best 0.666667 
step 245, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 250, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 255, training: 0.6, testing: 0.666667, anv: 0.666667, best 0.666667 
step 260, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 265, training: 0.84, testing: 0.666667, anv: 0.666667, best 0.666667 
step 270, training: 0.68, testing: 0.666667, anv: 0.666667, best 0.666667 
step 275, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 280, training: 0.64, testing: 0.666667, anv: 0.666667, best 0.666667 
step 285, training: 0.84, testing: 0.666667, anv: 0.666667, best 0.666667 
step 290, training: 0.92, testing: 0.666667, anv: 0.666667, best 0.666667 
step 295, training: 0.68, testing: 0.666667, anv: 0.666667, best 0.666667 
step 300, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 305, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 310, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 315, training: 0.64, testing: 0.666667, anv: 0.666667, best 0.666667 
step 320, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 325, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 330, training: 0.88, testing: 0.666667, anv: 0.666667, best 0.666667 
step 335, training: 0.64, testing: 0.666667, anv: 0.666667, best 0.666667 
step 340, training: 0.6, testing: 0.666667, anv: 0.666667, best 0.666667 
step 345, training: 0.68, testing: 0.666667, anv: 0.666667, best 0.666667 
step 350, training: 0.84, testing: 0.666667, anv: 0.666667, best 0.666667 
step 355, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 360, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 365, training: 0.6, testing: 0.666667, anv: 0.666667, best 0.666667 
step 370, training: 0.84, testing: 0.666667, anv: 0.666667, best 0.666667 
step 375, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 380, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 385, training: 0.84, testing: 0.666667, anv: 0.666667, best 0.666667 
step 390, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 395, training: 0.88, testing: 0.666667, anv: 0.666667, best 0.666667 
step 400, training: 0.68, testing: 0.666667, anv: 0.666667, best 0.666667 
step 405, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 410, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 415, training: 0.56, testing: 0.666667, anv: 0.666667, best 0.666667 
step 420, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 425, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 430, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 435, training: 0.64, testing: 0.666667, anv: 0.666667, best 0.666667 
step 440, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 445, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 450, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 455, training: 0.84, testing: 0.666667, anv: 0.666667, best 0.666667 
step 460, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 465, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 470, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 475, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 480, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 485, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 490, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 495, training: 0.84, testing: 0.666667, anv: 0.666667, best 0.666667 
step 500, training: 0.68, testing: 0.666667, anv: 0.666667, best 0.666667 
step 505, training: 0.68, testing: 0.666667, anv: 0.666667, best 0.666667 
step 510, training: 0.64, testing: 0.666667, anv: 0.666667, best 0.666667 
step 515, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 520, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 525, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 530, training: 0.68, testing: 0.666667, anv: 0.666667, best 0.666667 
step 535, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 540, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 545, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 550, training: 0.88, testing: 0.666667, anv: 0.666667, best 0.666667 
step 555, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 560, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 565, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 570, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 575, training: 0.64, testing: 0.666667, anv: 0.666667, best 0.666667 
step 580, training: 0.56, testing: 0.666667, anv: 0.666667, best 0.666667 
step 585, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 590, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 595, training: 0.6, testing: 0.666667, anv: 0.666667, best 0.666667 
step 600, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 605, training: 0.6, testing: 0.666667, anv: 0.666667, best 0.666667 
step 610, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 615, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 620, training: 0.64, testing: 0.666667, anv: 0.666667, best 0.666667 
step 625, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 630, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 635, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 640, training: 0.64, testing: 0.666667, anv: 0.666667, best 0.666667 
step 645, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 650, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 655, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 660, training: 0.68, testing: 0.666667, anv: 0.666667, best 0.666667 
step 665, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 670, training: 0.68, testing: 0.666667, anv: 0.666667, best 0.666667 
step 675, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 680, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 685, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 690, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 695, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 700, training: 0.64, testing: 0.666667, anv: 0.666667, best 0.666667 
step 705, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 710, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.666667 
step 715, training: 0.68, testing: 0.666667, anv: 0.666667, best 0.666667 
step 720, training: 0.68, testing: 0.666667, anv: 0.666667, best 0.666667 
step 725, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 730, training: 0.84, testing: 0.666667, anv: 0.666667, best 0.666667 
step 735, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.666667 
step 740, training: 0.84, testing: 0.666667, anv: 0.666667, best 0.666667 
step 745, training: 0.6, testing: 0.666667, anv: 0.666667, best 0.666667 
step 750, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 755, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
 
****************************************
current sequence is 5
****************************************
step 0, training: 0.32, testing: 0.166667, anv: 0.0555556, best 0.0555556 
step 5, training: 0.08, testing: 0.166667, anv: 0.111111, best 0.111111 
step 10, training: 0.24, testing: 0.166667, anv: 0.166667, best 0.166667 
step 15, training: 0.2, testing: 0.166667, anv: 0.166667, best 0.166667 
step 20, training: 0.28, testing: 0.333333, anv: 0.222222, best 0.222222 
step 25, training: 0.2, testing: 0.166667, anv: 0.222222, best 0.222222 
step 30, training: 0.36, testing: 0.5, anv: 0.333333, best 0.333333 
step 35, training: 0.32, testing: 0.333333, anv: 0.333333, best 0.333333 
step 40, training: 0.48, testing: 0.5, anv: 0.444444, best 0.444444 
step 45, training: 0.6, testing: 0.5, anv: 0.444444, best 0.444444 
step 50, training: 0.36, testing: 0.333333, anv: 0.444444, best 0.444444 
step 55, training: 0.4, testing: 0.5, anv: 0.444444, best 0.444444 
step 60, training: 0.72, testing: 0.666667, anv: 0.5, best 0.5 
step 65, training: 0.64, testing: 0.666667, anv: 0.611111, best 0.611111 
step 70, training: 0.64, testing: 0.666667, anv: 0.666667, best 0.666667 
step 75, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.666667 
step 80, training: 0.6, testing: 0.833333, anv: 0.722222, best 0.722222 
step 85, training: 0.8, testing: 0.833333, anv: 0.777778, best 0.777778 
step 90, training: 0.56, testing: 0.833333, anv: 0.833333, best 0.833333 
step 95, training: 0.64, testing: 0.833333, anv: 0.833333, best 0.833333 
step 100, training: 0.64, testing: 0.666667, anv: 0.777778, best 0.833333 
step 105, training: 0.84, testing: 0.666667, anv: 0.722222, best 0.833333 
step 110, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.833333 
step 115, training: 0.68, testing: 0.666667, anv: 0.666667, best 0.833333 
step 120, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.833333 
step 125, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.833333 
step 130, training: 0.6, testing: 0.833333, anv: 0.722222, best 0.833333 
step 135, training: 0.72, testing: 0.666667, anv: 0.722222, best 0.833333 
step 140, training: 0.72, testing: 0.666667, anv: 0.722222, best 0.833333 
step 145, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.833333 
step 150, training: 0.76, testing: 0.833333, anv: 0.722222, best 0.833333 
step 155, training: 0.76, testing: 0.833333, anv: 0.777778, best 0.833333 
step 160, training: 0.84, testing: 0.833333, anv: 0.833333, best 0.833333 
step 165, training: 0.72, testing: 0.833333, anv: 0.833333, best 0.833333 
step 170, training: 0.76, testing: 0.666667, anv: 0.777778, best 0.833333 
step 175, training: 0.8, testing: 0.666667, anv: 0.722222, best 0.833333 
step 180, training: 0.6, testing: 0.666667, anv: 0.666667, best 0.833333 
step 185, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.833333 
step 190, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.833333 
step 195, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.833333 
step 200, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.833333 
step 205, training: 0.68, testing: 0.666667, anv: 0.666667, best 0.833333 
step 210, training: 0.6, testing: 0.666667, anv: 0.666667, best 0.833333 
step 215, training: 0.88, testing: 0.666667, anv: 0.666667, best 0.833333 
step 220, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.833333 
step 225, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.833333 
step 230, training: 0.56, testing: 0.666667, anv: 0.666667, best 0.833333 
step 235, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.833333 
step 240, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.833333 
step 245, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.833333 
step 250, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.833333 
step 255, training: 0.56, testing: 0.666667, anv: 0.666667, best 0.833333 
step 260, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.833333 
step 265, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.833333 
step 270, training: 0.84, testing: 0.666667, anv: 0.666667, best 0.833333 
step 275, training: 0.6, testing: 0.666667, anv: 0.666667, best 0.833333 
step 280, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.833333 
step 285, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.833333 
step 290, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.833333 
step 295, training: 0.84, testing: 0.666667, anv: 0.666667, best 0.833333 
step 300, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.833333 
step 305, training: 0.84, testing: 0.666667, anv: 0.666667, best 0.833333 
step 310, training: 0.84, testing: 0.666667, anv: 0.666667, best 0.833333 
step 315, training: 0.88, testing: 0.666667, anv: 0.666667, best 0.833333 
step 320, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.833333 
step 325, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.833333 
step 330, training: 0.68, testing: 0.666667, anv: 0.666667, best 0.833333 
step 335, training: 0.72, testing: 0.666667, anv: 0.666667, best 0.833333 
step 340, training: 0.8, testing: 0.666667, anv: 0.666667, best 0.833333 
step 345, training: 0.76, testing: 0.666667, anv: 0.666667, best 0.833333 
