Mon Apr  3 00:40:11 2017 Train the 3D-ConvNet on UT-Interaction dataset set1 from scratch! 
****************************************
current sequence is 1
****************************************
step 0, training: 0, testing: 0.166667, anv: 0.0166667, best 0.0166667 
step 900, training: 0.8, testing: 1, anv: 0.966667, best 0.966667 
step 920, training: 1, testing: 1, anv: 0.966667, best 0.966667 
step 940, training: 1, testing: 1, anv: 0.983333, best 0.983333 
step 960, training: 1, testing: 1, anv: 1, best 1 
 
****************************************
current sequence is 8
****************************************
step 0, training: 0.133333, testing: 0.142857, anv: 0.0142857, best 0.0142857 
step 20, training: 0.2, testing: 0.285714, anv: 0.0428571, best 0.0428571 
step 40, training: 0.2, testing: 0.428571, anv: 0.0857143, best 0.0857143 
step 60, training: 0.2, testing: 0.428571, anv: 0.128571, best 0.128571 
step 80, training: 0.533333, testing: 0.571429, anv: 0.185714, best 0.185714 
step 100, training: 0.4, testing: 0.428571, anv: 0.228571, best 0.228571 
step 120, training: 0.4, testing: 0.285714, anv: 0.257143, best 0.257143 
step 140, training: 0.2, testing: 0.428571, anv: 0.3, best 0.3 
step 160, training: 0.4, testing: 0.428571, anv: 0.342857, best 0.342857 
step 180, training: 0.466667, testing: 0.571429, anv: 0.4, best 0.4 
step 200, training: 0.4, testing: 0.714286, anv: 0.457143, best 0.457143 
step 220, training: 0.4, testing: 0.571429, anv: 0.485714, best 0.485714 
step 240, training: 0.533333, testing: 0.714286, anv: 0.514286, best 0.514286 
step 260, training: 0.533333, testing: 0.571429, anv: 0.528571, best 0.528571 
step 280, training: 0.8, testing: 0.714286, anv: 0.542857, best 0.542857 
step 300, training: 0.533333, testing: 0.714286, anv: 0.571429, best 0.571429 
step 320, training: 0.733333, testing: 0.857143, anv: 0.628571, best 0.628571 
step 340, training: 0.6, testing: 0.857143, anv: 0.671429, best 0.671429 
step 360, training: 0.6, testing: 0.857143, anv: 0.714286, best 0.714286 
